Feature,Coefficient
Genre_index,0.2827490529497305
Tempo,-0.7201687061355221
Explicit_index,-1.0268795276205065
Energy,0.21984344266149336
Danceability,0.2999560987886906
Positiveness,0.22418341094858876
Liveness,-0.7949903713546679
Good for Party,5.7898597134304985
Good for Social Gatherings,2.9717952770456617
