Feature,Coefficient,AbsCoeff
Tempo,0.014011227220563433,0.014011227220563433
Genre_index,0.022433532606598177,0.022433532606598177
Explicit_index,-0.042134436280398105,0.042134436280398105
Energy,0.04511047433835019,0.04511047433835019
Liveness,-0.05291379575662389,0.05291379575662389
Danceability,0.0661961031986082,0.0661961031986082
Positiveness,0.06734254018912972,0.06734254018912972
Good for Social Gatherings,0.1951197370897327,0.1951197370897327
Good for Party,0.3426424009997716,0.3426424009997716
